product_name,price,category,tags,description,link
Portable Hammock,68,Outdoor,"hammock, outdoor, relaxation, portable","Perfect for outdoor relaxation and camping",https://amazon.com/portable-hammock
Custom Phone Case,26,Tech,"phone, case, custom, protection","Personalized protection for their phone",https://amazon.com/phone-case
Mood Ring,22,Fashion,"ring, mood, fun, fashion","Fun accessory that changes with temperature",https://amazon.com/mood-ring
Mini Succulent Garden,41,Home,"succulent, plants, mini, garden","Low-maintenance green friends for any space",https://amazon.com/succulent-garden
Wireless Mouse,35,Tech,"mouse, wireless, computer, productivity","Smooth and reliable for work or gaming",https://amazon.com/wireless-mouse
Instant Camera,87,Photography,"camera, instant, photography, memories","Capture and print memories instantly",https://amazon.com/instant-camera
Protein Shaker Bottle,27,Health,"protein, shaker, fitness, gym","Perfect for gym enthusiasts and protein shakes",https://amazon.com/shaker-bottle
Aromatic Reed Diffuser,38,Home,"diffuser, aroma, home, fragrance","Continuous pleasant fragrance for home",https://amazon.com/reed-diffuser
Puzzle 1000 Pieces,33,Entertainment,"puzzle, entertainment, patience, hobby","Challenging and relaxing activity for quiet time",https://amazon.com/puzzle-1000
Silk Pillowcase,51,Beauty,"pillowcase, silk, beauty, hair","Gentle on hair and skin while sleeping",https://amazon.com/silk-pillowcase
Mini Bluetooth Speaker,42,Tech,"speaker, bluetooth, music, mini","Compact speaker for music anywhere",https://amazon.com/mini-speaker
Gourmet Spice Set,46,Kitchen,"spices, cooking, gourmet, flavor","Elevate cooking with premium spices",https://amazon.com/spice-set
Reading Light,29,Books,"light, reading, books, portable","Perfect lighting for nighttime reading",https://amazon.com/reading-light
Stress Ball Set,18,Wellness,"stress, ball, relaxation, squeeze","Squeeze away stress and tension",https://amazon.com/stress-balls
Custom Keychain,15,Fashion,"keychain, custom, personal, accessory","Personalized accessory for keys",https://amazon.com/custom-keychain
Mini Waffle Maker,54,Kitchen,"waffle, maker, breakfast, cooking","Make delicious waffles anytime at home",https://amazon.com/waffle-maker
LED Strip Lights,49,Home,"led, lights, decoration, ambiance","Transform any room with colorful lighting",https://amazon.com/led-strips
